Authors;Abstract Title;Permalink DBLP;Google Scholar Cluster;Google Scholar Citations (as of 15 Feb 2020);Format
Tamar Gordon, Lori C. Walters, Rob Michlowitz;An Augmented Reality Mobile Application for Intergenerational Learning and Critical Connection;https://dblp.org/rec/conf/dihu/GordonWM16;https://scholar.google.com/scholar?cluster=8783671525926615089;1;Long Paper
Andrew Hankinson, Reiner Krämer, Julie Cumming, Ichiro Fujinaga;Cross-Institutional Music Document Search;https://dblp.org/rec/conf/dihu/HankinsonKCF16;https://scholar.google.com/scholar?cluster=14783516495233504428;1;Long Paper
Rui Hu, Jean-Marc Odobez, Daniel Gatica-Perez;Assessing a Shape Descriptor for Analysis of Mesoamerican Hieroglyphics: A View Towards Practice in Digital Humanities;https://dblp.org/rec/conf/dihu/HuOG16;https://scholar.google.com/scholar?cluster=13755593584466465725;2;Long Paper
Stefan Jänicke, David Joseph Wrisley;Visualizing Mouvance: Towards an Alignment of Medieval Vernacular Text Traditions;https://dblp.org/rec/conf/dihu/JanickeW16;https://scholar.google.com/scholar?cluster=6258757077861210855;3;Long Paper
Kim Jautze, Andreas van Cranenburgh, Corina Koolen;Topic Modeling Literary Quality;https://dblp.org/rec/conf/dihu/JautzeCK16;https://scholar.google.com/scholar?cluster=17014469150281250445;5;Long Paper
Andrew Jewell, Elizabeth Lorang;Teaching Digital Humanities Through a Community-Engaged, Team-Based Pedagogy;https://dblp.org/rec/conf/dihu/JewellL16;https://scholar.google.com/scholar?cluster=1763698468220222419;1;Long Paper
Patrick Juola, George K. Mikros;Authorship Attribution Using Different Languages;https://dblp.org/rec/conf/dihu/JuolaM16;https://scholar.google.com/scholar?cluster=12239801030806041482;3;Long Paper
Akihiro Kawase;Regional Classification of Traditional Japanese Folk Songs from the Chugoku District;https://dblp.org/rec/conf/dihu/Kawase16;https://scholar.google.com/scholar?cluster=1128787502188129995;3;Long Paper
Mike Kestemont, Justin Anthony Stover, Moshe Koppel, Folgert Karsdorp, Walter Daelemans;Authorship Verification with the Ruzicka Metric;https://dblp.org/rec/conf/dihu/KestemontSKKD16;https://scholar.google.com/scholar?cluster=9809221176675957708;3;Long Paper
Matthew Lincoln;If Paintings were Plants: Measuring Genre Diversity in Seventeenth-Century Dutch Painting and Printmaking;https://dblp.org/rec/conf/dihu/Lincoln16;https://scholar.google.com/scholar?cluster=16278063773848511559;1;Long Paper
Chao-Lin Liu;Quantitative Analyses of Chinese Poetry of Tang and Song Dynasties: Using Changing Colors and Innovative Terms as Examples;https://dblp.org/rec/conf/dihu/Liu16;https://scholar.google.com/scholar?cluster=12111986076156693804;4;Long Paper
Eetu Mäkelä, Thea Lindquist, Eero Hyvönen;CORE - A Contextual Reader based on Linked Data;https://dblp.org/rec/conf/dihu/MakelaLH16;https://scholar.google.com/scholar?cluster=7822185147793572398;15;Long Paper
Eetu Mäkelä, Tanja Säily, Terttu Nevalainen;Khepri - a Modular View-Based Tool for Exploring (Historical Sociolinguistic) Data;https://dblp.org/rec/conf/dihu/MakelaSN16;https://scholar.google.com/scholar?cluster=10128238124750595981;3;Long Paper
Maciej Maryl, Maciej Piasecki, Ksenia Mlynarczyk;Where Close and Distant Readings Meet: Text Clustering Methods in Literary Analysis of Weblog Genres;https://dblp.org/rec/conf/dihu/MarylPM16;https://scholar.google.com/scholar?cluster=16480967516874896595,8343475867642195584;7;Long Paper
Alexander Mehler, Benno Wagner, Rüdiger Gleim;Wikidition: Towards A Multi-layer Network Model of Intertextuality;https://dblp.org/rec/conf/dihu/MehlerWG16;https://scholar.google.com/scholar?cluster=10412255521751616118;2;Long Paper
